Date	Type	Country	Area	Location	Activity	Name	Sex 	Age	Fatal (Y/N)	Grad Injury	Location of Injury	Type of Shark	Size of Shark	Investigator or Source	pdf
2018-06-25	Boating	USA	California	Oceanside, San Diego County	Paddling	Julie Wolfe	F	57	N	No injury	Unknown	White shark	Unknown	R. Collier, GSAF	Wolfe
2018-06-18	Unprovoked	USA	Georgia	St. Simon Island, Glynn County	Standing	Adyson McNeely 	F	11	N	Minor injury	left thigh	Unknown	Unknown	K.McMurray, TrackingSharks	McNeely
2018-06-09	Invalid	USA	Hawaii	Habush, Oahu	Surfing	John Denges	M	48	N	Injury	lower leg	Unknown	Unknown	K.McMurray, TrackingSharks	Denges
2018-06-08	Unprovoked	AUSTRALIA	New South Wales	Arrawarra Headland	Surfing		M	0	N	Minor injury	lower leg	m shark	2 m	B. Myatt, GSAF	Arrawarra
2018-06-04	Provoked	MEXICO	Colima	La Ticla	Free diving	Gustavo Ramos 	M	0	N	Lacerations	leg   hand	Tiger shark	3m	A .Kipper	Ramos
	Unprovoked	AUSTRALIA	New South Wales	Flat Rock, Ballina	Kite surfing	Chris 	M	0	N	No injury	Unknown	Unknown	Unknown	Daily Telegraph, 6/4/2018	bFlatRock
	Unprovoked	BRAZIL	Pernambuco	Piedade Beach, Recife	Swimming	Jose Ernesto da Silva 	M	18	Y	Fatal	Unknown	Tiger shark	Unknown	Diario de Pernambuco, 6/4/2018	adaSilva
2018-05-27	Unprovoked	USA	Florida	Lighhouse Point Park, Ponce Inlet, Volusia County	Fishing		M	52	N	Minor injury	Unknown	Lemon shark	3'	K. McMurray, TrackingSharks	Ponce
	Unprovoked	USA	Florida	Cocoa Beach, Brevard  County	Walking	Cody High	M	15	N	Injury	left leg	Bull shark	6'	K.McMurray, TrackingSharks	bHigh
	Unprovoked	USA	Florida	Daytona Beach, Volusia County	Standing		M	12	N	Minor injury	Unknown	Unknown	Unknown	K. McMurray, Tracking Sharks	aDaytonaBeach
2018-05-24	Provoked	AUSTRALIA	Queensland	Cairns Aquarium	Feeding sharks		M	32	N	Injury	hand	reef shark	Unknown	ABC.net.au ,05/24/2018	CairnsAquarium
2018-05-21	Unprovoked	USA	South Carolina	Isle of Palms,  Charleston County	Boogie boarding	Trey de Boer	M	10	N	Injury	right leg	Unknown	Unknown	C. Creswell, GSAF	deBoer
	Unprovoked	USA	South Carolina	Hilton Head Island, Beaufort County	Swimming	Jei Turrell	M	10	N	Injury	Unknown	Unknown	Unknown	C. Creswell, GSAF & K. McMurray TrackingSharks	bTurrell
	Invalid	ENGLAND	Cornwall	Off Land's End	Fishing	Max Berryman	M	21	N	Injury	Unknown	Unknown	Unknown	K. McMurray, TrackingSharks	aBerryman
	Provoked	AUSTRALIA	Westerm Australia	Dugong Bay	Feeding sharks	Melisa Brunning	F	34	N	Injury	Unknown	nurse shark	2m	Perth Now, 6/30/2018	Brunning
2018-05-12	Unprovoked	SOUTH AFRICA	Eastern Cape Province	Nahoon Beach, East London	Surfing		M	0	N	Minor injury	Unknown	Unknown	Unknown	B.Jacob, Dispatch Live, 5/12/2018	EastLondon
2018-05-09	Questionable	AUSTRALIA	New South Wales	Sharpes Beach, Ballina	Surfing		M	0	N	No injury	Unknown	Unknown	Unknown	B. Myatt, GSAF	SharpesBeach
	Unprovoked	THAILAND	Hua Hin	Sai Noi Beach	Swimming	fe	M	0	N	Minor injury	Unknown	Unknown	Unknown	K. McMurray, TrackingSharks	RThailand
	Unprovoked	COSTA RICA	Cocos Island	Manuelita	Scuba diving		M	30	N	No injury	Unknown	Tiger shark	Unknown	Costa Rica Star. 4/28/2018	bCostaRica
	Unprovoked	AUSTRALIA	Western Australia	Gearys Beach	Surfing	Adam Murray	M	0	N	No injury	Unknown	Unknown	Unknown	B. Myatt, GSAF	aMurray
	Questionable	AUSTRALIA	New South Wales	Lennox Head	Surfing	Matthew Lee	M	0	N	No injury	Unknown	Unknown	Unknown	B. Myatt, GSAF	bLee
	Unprovoked	AUSTRALIA	Western Australia	Surfers Point, Prevelly	Surfing	Rob Bruce	M	60	N	No injury	Unknown	m shark	3 m	B.Myatt, GSAF	aBruce
2018-04-24	Unprovoked	AUSTRALIA	Western Australia	South Point, Gracetown	Surfing	Nathan Burch	M	0	N	No injury	his leg	White shark	3.	B. Myatt, GSAF	Burch
2018-04-23	Unprovoked	MALDIVES	Alifu Alifu Atoll	Madoogali	Fishing	Ahmed Rasheed	M	32	N	Injury	hand	Tiger shark	Unknown	K. McMurray, TrackingSharks	Maldives
2018-04-22	Unprovoked	SOUTH AFRICA	Western Cape Province	Robberg Beach, Plettenberg Bay	Paddle-skiing		M	33	N	No injury	Unknown	White shark	2.	Africa News Agency, 4/22/2018	PlettenbergBay
2018-04-19	Unprovoked	USA	Hawaii	Shipwrecks Beach, Keoneloa Bay, Kauai	Body boarding	Dylan McWilliams	M	29	N	Lacerations	lower leg	Unknown	6'	The Garden Island, 4/19/2018	McWilliams
	Unprovoked	THAILAND	Hua Hin	Sai Noi Beach	Swimming	Werner Danielsen	M	54	N	Lacerations	Unknown	bull shark	Unknown	Straits Times, 4/16/2018	dThailand
	Unprovoked	BRAZIL	Pernambuco	Piedade	Swimming	Pablo de Melo	M	34		Fatal	and leg	Unknown	Unknown	Globo, 4/16/2018	cdeMelo
	Unprovoked	AUSTRALIA	Western Australia	Lefthanders, Margaret River Area	Surfing	Jason Longrass	M	41	N	Injury	right thigh	Unknown	Unknown	B.Myatt, GSAF	bLongrass
	Unprovoked	AUSTRALIA	Western Australia	Cobblestones, Margaret River Area	Surfing	Alejandro Travaglini	M	37	N	Lacerations	Unknown	Unknown	Unknown	B.Myatt, GSAF	aTravaglini
2018-04-14	Unprovoked	BAHAMAS	New Providence	Nirvana Beach	Surfing	Bruce Rowan	M	0	N	Injury	Unknown	Tiger shark	Unknown	Tribune242,	Rowanpff
	Invalid	BRAZIL	Alagoas	Praia de Sauaçuhy, Maceió	Fishing	Josias Paz	M	56	N	Injury	Unknown	Unknown	Unknown	K. McMurray, TrackingSharks	RPaz
2018-04-09	Unprovoked	NEW CALEDONIA		Magenta Beach, Noumea	Windsurfing	nan		0	N	No injury	Unknown	m shark	2 m	Les Nouvelles Caledoniennes, 4/10/2018	Magenta
2018-04-05	Unprovoked	BAHAMAS		Bimini	Swimming	Shane McConnell	M	12	N	Injury	left foot	Bull shark	Unknown	K. McMurray, TrackingSharks	McConnell
2018-04-03	Unprovoked	SOUTH AFRICA	Eastern Cape Province	St. Francis Bay	Surfing	Ross Spowart	M	19	N	Lacerations	lower leg	White shark	Unknown	K. McMurray, TrackingSharks	StFrancisBay
2018-03-31	Unprovoked	USA	Hawaii	Kukio Beach	Stand-Up Paddleboarding		M	25	N	Injury	right leg	Tiger shark	12'	Khon2, 3/31/2018	Hawaii
2018-03-14	Unprovoked	AUSTRALIA	Western Australia	Waterman's Bay	Wading	Luke Guy & Finn Bald	M	10	N	Injury	Unknown	Wobbegong shark	Unknown	B. Myatt, GSAF	WatermansBay
	Unprovoked	AUSTRALIA	Victoria	Lorne	Swimming	Rob Crossland	M	69	N	No injury	Unknown	m shark	3.	B. Myatt, GSAF	bCrossland
	Unprovoked	AUSTRALIA	Victoria	Winkipop	Surfing	Lachie Brown	M	18	N	Minor injury	Unknown	m shark	1.	B. Myatt, GSAF	aWeight
2018-02-24	Unprovoked	SOUTH AFRICA	KwaZulu-Natal	Durban	Scuba Diving	Elton Polly	M	38	N	Injury	Unknown	Blacktip shark	Unknown	International Business Times, 3/1/2018	Polly
2018-02-23	Unprovoked	AUSTRALIA	New South Wales	Little Congwong Beach, La Perouse 	Swimming	Anna Shurapey 	F	55	N	Injury	right leg	white shark	2.	B. Myatt, GSAF	Shurapey
2018-02-17	Provoked	AUSTRALIA	Victoria	Westernport Bay	Kayak fishing for sharks	Brett Palmer	M	34	N	Injury	Unknown	Unknown	Unknown	B. Myatt, GSAF	Palmer
2018-02-15	Unprovoked	AUSTRALIA	New South Wales	Surf Beach, Kiama	Walking	Adam Hoare	M	35	N	Injury	leff foot	Bull shark	2 m	B. Myatt, GSAF	Hoare
2018-02-14	Invalid	AUSTRALIA	Queensland	Mooloolaba Beach	Swimming	Sharna Babd	F	0	N	No injury	Unknown	Unknown	Unknown	Sunshine Coast Daily, 2/15/2018	Babd
2018-02-11	Invalid	BRAZIL	Boi Island, Victoria	Espirito Santo	Cleaning fish	Rosalida Souza	F	46	N	Lacerations	right foot	a shark	Unknown	TrackingSharks	Rosilda
2018-02-03	Unprovoked	ECUADOR	Galapagos Islands	Santa Fe Island	Snorkeling	Andrew Phipps Newman	M	45	N	Injury	right foot	Galapagos shark	Unknown	The Standard (UK), 2/6/2018	Newman
2018-02-01	Invalid	AUSTRALIA	Western Australia	Avalon Point, Manurah	Spearfishing	Lucas Martin	M	14	N	No injury	Unknown	2m shark	2m	The West Australian, 2/2/2018	Martin
2018-01-28	Unprovoked	AUSTRALIA	Western Australia	Cone Bay			M	18	N	Injury	right leg	Bull shark	Unknown	ABC.net.au, 01/28/2018	ConeBay
2018-01-21	Unprovoked	NEW CALEDONIA		Nouville	Spearfishing		M	0	N	Injury	Unknown	Bull shark	3 m	TrackingSharks	NewCaledonia
2018-01-14	Unprovoked	AUSTRALIA	Queensland	Lizard Island	Diving	Mathew Vickers	M	0	N	Injury	Unknown	reef shark	2 m	B. Myatt, GSAF	Vickers
2018-01-13	Unprovoked	AUSTRALIA	New South Wales	Martin Islet	Free diving	Callum Stewart	M	28	N	No injury	Unknown	White shark	3.	B. Myatt, GSAF	Stewart
2018-01-12	Unprovoked	BRAZIL	Fernando de Noronha	Conceicao Beach	Surfing	Ricardo Ferrari Bulhoes 	M	20	N	Minor injury	Unknown	small shark	Unknown	TrackingSharks	Bulhoes
2018-01-05	Unprovoked	AUSTRALIA	Western Australia	South Point, Gracetown	Surfing	Justin 	M	0	N	Injury	Foot	Wobbegong shark	Unknown	Perth Now, 1/6/2018	Justin
2017-12-31	Unprovoked	USA	Hawaii	Hultin's Beach, Oahu	Surfing	Marjorie Mariano	F	54	N	Injury	left thigh	Tiger shark	Unknown	J. Howard, Surfling Now, 1/2/2018	Mariano
2017-12-30	Unprovoked	USA	California	Drakes Estero, Point Reyes, Marin County	Surfing	Natalie Jones	F	35	N	Injury	Foot	Unknown	Unknown	R. Collier	Jones
2017-12-21	Provoked	MALAYSIA	Sepang	Bagan Lalang Beach	Fishing / Wading	Sairol  Harun	M	24	N	Minor injury	Unknown	nurse shark	Unknown	TrackingSharks	Harun
2017-12-09	Unprovoked	BAHAMAS			Snorkeling	Sarah Illig-Carroll	F	25	N	Minor injury	Unknown	Nurse shark	5'	Daily Star, 12/11/2017	Carroll
	Unprovoked	COSTA RICA	Cocos Island	Manuelita	Scuba Diving	__ Jimenez	M	26	N	Injury	Unknown	Tiger shark	Unknown	R. Arauz	bJimenez
