Year,Country,Area,Location,Activity,Sex ,original order,hurt
2018,USA,Hawaii,"Habush, Oahu",Surfing,M,6301.0,Injury
2018,AUSTRALIA,New South Wales,Arrawarra Headland,Surfing,M,6300.0,Injury
2018,BRAZIL,Pernambuco,"Piedade Beach, Recife",Swimming,M,6297.0,Fatal
2018,USA,Florida,"Lighhouse Point Park, Ponce Inlet, Volusia County",Fishing,M,6296.0,Injury
2018,USA,South Carolina,"Hilton Head Island, Beaufort County",Swimming,M,6291.0,Injury
2018,ENGLAND,Cornwall,Off Land's End,Fishing,M,6290.0,Injury
2018,SOUTH AFRICA,Eastern Cape Province,"Nahoon Beach, East London",Surfing,M,6288.0,Injury
2018,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",Surfing,M,6287.0,Injury
2018,THAILAND,Hua Hin,Sai Noi Beach,Swimming,M,6286.0,Injury
2018,AUSTRALIA,Western Australia,Gearys Beach,Surfing,M,6284.0,Injury
2018,AUSTRALIA,New South Wales,Lennox Head,Surfing,M,6283.0,Injury
2018,AUSTRALIA,Western Australia,"Surfers Point, Prevelly",Surfing,M,6282.0,Injury
2018,AUSTRALIA,Western Australia,"South Point, Gracetown",Surfing,M,6281.0,Injury
2018,MALDIVES,Alifu Alifu Atoll,Madoogali,Fishing,M,6280.0,Injury
2018,THAILAND,Hua Hin,Sai Noi Beach,Swimming,M,6277.0,Injury
2018,BRAZIL,Pernambuco,Piedade,Swimming,M,6276.0,Injury
2018,AUSTRALIA,Western Australia,"Lefthanders, Margaret River Area",Surfing,M,6275.0,Injury
2018,AUSTRALIA,Western Australia,"Cobblestones, Margaret River Area",Surfing,M,6274.0,Injury
2018,BAHAMAS,New Providence,Nirvana Beach,Surfing,M,6273.0,Injury
2018,BRAZIL,Alagoas,"Praia de Sauaçuhy, Maceió",Fishing,M,6272.0,Injury
2018,BAHAMAS,0,Bimini,Swimming,M,6270.0,Injury
2018,SOUTH AFRICA,Eastern Cape Province,St. Francis Bay,Surfing,M,6269.0,Injury
2018,AUSTRALIA,Victoria,Lorne,Swimming,M,6266.0,Injury
2018,AUSTRALIA,Victoria,Winkipop,Surfing,M,6265.0,Injury
2018,AUSTRALIA,New South Wales,"Little Congwong Beach, La Perouse ",Swimming,F,6263.0,Injury
2018,AUSTRALIA,Queensland,Mooloolaba Beach,Swimming,F,6260.0,Injury
2018,BRAZIL,Fernando de Noronha,Conceicao Beach,Surfing,M,6252.0,Injury
2018,AUSTRALIA,Western Australia,"South Point, Gracetown",Surfing,M,6251.0,Injury
2017,USA,Hawaii,"Hultin's Beach, Oahu",Surfing,F,6250.0,Injury
2017,USA,California,"Drakes Estero, Point Reyes, Marin County",Surfing,F,6249.0,Injury
2017,USA,Florida,"Floridana Beach, Brevard County",Surfing,F,6242.0,Injury
2017,0,0,0,Surfing,M,6241.0,Injury
2017,AUSTRALIA,New South Wales,Avoca Beach,Surfing,M,6240.0,Injury
2017,AUSTRALIA,New South Wales,Birubi Point,Surfing,M,6237.0,Injury
2017,MAURITIUS,Pamplemousses ,Le Goulet,Swimming,M,6235.0,Injury
2017,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",Swimming,F,6233.0,Injury
2017,USA,Florida,"Lantana Beach, Palm Beach County",Swimming,M,6230.0,Injury
2017,USA,Hawaii,"Davidsons Beach, Kekaha, Kauai",Surfing,M,6229.0,Injury
2017,USA,Florida,"Hanna Park, Jacksonville, Duval County",Surfing,M,6226.0,Injury
2017,AUSTRALIA,Western Australia,Gracetown,Surfing,M,6225.0,Injury
2017,USA,New York,Rockaway,Surfing,M,6224.0,Injury
2017,USA,Florida,Fort Worth,Surfing,M,6223.0,Injury
2017,USA,Florida,Palm Beach County,Surfing,M,6222.0,Injury
2017,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,6220.0,Injury
2017,SAMOA, Upolu Island,Nofoalii,Fishing,M,6218.0,Injury
2017,AUSTRALIA,Westerm Australia,Esperance,Fishing,0,6217.0,Injury
2017,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,6216.0,Injury
2017,AUSTRALIA,Westerm Australia,Sam's Creek area,Swimming,M,6215.0,Injury
2017,AUSTRALIA,New South Wales,Iluka Beach,Surfing,M,6214.0,Injury
2017,JAPAN,Shizuoka Prefecture,Iwata City,Surfing,M,6211.0,Injury
2017,USA,Florida,"Marathon, Monroe County",Swimming,M,6210.0,Injury
2017,USA,Texas,"South Padre Island, Cameron County",Swimming,F,6209.0,Injury
2017,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,6208.0,Injury
2017,AUSTRALIA,Victoria,Cathedral Rock,Surfing,M,6207.0,Injury
2017,SPAIN,Castellón,Grao de Moncofa,Swimming,F,6205.0,Injury
2017,USA,South Carolina,"Sea Pines Resort, Hilton Head Island, Beaufort County",Swimming,M,6201.0,Injury
2017,USA,Massachusetts,"Menauhant Beach, Falmouth,
Barnstable County",Fishing,M,6199.0,Injury
2017,USA,South Carolina,"Hilton Head Island, Beaufort County",Swimming,M,6196.0,Injury
2017,"ST HELENA, British overseas territory",Ascension Island,English Bay,Surfing,M,6192.0,Injury
2017,SPAIN,Majorca,"Estanys Beach, Colonia de Sant",Swimming,F,6190.0,Injury
2017,USA,South Carolina,"Hilton Head Island, Beaufort County",Swimming,F,6188.0,Injury
2017,USA,Washington,"South Beach, Westport, Grays Harbor County",Surfing,M,6185.0,Injury
2017,AUSTRALIA,Western Australia,Floreat Beach,Surfing,M,6184.0,Injury
2017,USA,Florida,"Haulover Beach, Miami-Dade County",Swimming,M,6182.0,Injury
2017,MEXICO,Tabasco,"Sánchez Magallanes, Cárdenas",Fishing,M,6181.0,Injury
2017,SOUTH AFRICA,Eastern Cape Province,"Nahoon Reef, East London",Surfing,F,6180.0,Injury
2017,COMOROS,Anjouan,Moya,Fishing,0,6179.0,Injury
2017,USA,South Carolina,Wrightsville Beach,Fishing,M,6178.0,Injury
2017,USA,South Carolina,"South Forest Beach, Hilton Head Island, Beaufort County",Swimming,F,6177.0,Injury
2017,USA,Florida,"Singer Island, Palm Beach County",Surfing,M,6176.0,Injury
2017,USA,South Carolina,"Burkes Beach, Hilton Head, Beaufort County",Swimming,F,6175.0,Injury
2017,SPAIN,Ibiza Island,Playa den Bossa,Swimming,M,6173.0,Injury
,FRENCH POLYNESIA,Marquesas,"Atuona Bay, Hiva Oa Island",Surfing,M,6172.0,Injury
2017,AUSTRALIA,Victoria,"Flinders, Mornington Penisula",Surfing,F,6169.0,Injury
2017,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,6168.0,Injury
2017,USA,California,"Sunset Beach, Orange County",Surfing,F,6158.0,Injury
2017,USA,California,"San Onofre, San Diego County ",Swimming,F,6157.0,Injury
2017,SOUTH AFRICA,Western Cape Province,"Keurbooms, Plettenberg Bay",Surfing,M,6156.0,Injury
2017,USA,South Carolina,"Folly Beach, Charleston County",Surfing,F,6155.0,Injury
