,id,Nombre,Descubridor(es),Fecha,Observatorio o Sitio de observación
0,1,Ceres,G. Piazzi,1 de enero de 1801,Observatorio de Palermo
1,2,Pallas,H. W. M. Olbers,28 de marzo de 1802,Bremen
2,3,Juno,K. L. Harding,1 de septiembre de 1804,Lilienthal
3,4,Vesta,H. W. M. Olbers,29 de marzo de 1807,Bremen
4,5,Astraea,K. L. Hencke,8 de diciembre de 1845,Drezdenko[1]​
5,6,Hebe,K. L. Hencke,1 de julio de 1847,Drezdenko[1]​
6,7,Iris,J. R. Hind,13 de agosto de 1847,Observatorio George Bishop
7,8,Flora,J. R. Hind,18 de octubre de 1847,Observatorio George Bishop
8,9,Metis,A. Graham,25 de abril de 1848,Observatorio Markree
9,10,Hygiea,A. de Gasparis,12 de abril de 1849,Obs. Astronómico de Capodimonte
10,11,Parthenope,A. de Gasparis,11 de mayo de 1850,Obs. Astronómico de Capodimonte
11,12,Victoria,J. R. Hind,13 de septiembre de 1850,Observatorio George Bishop
12,13,Egeria,A. de Gasparis,2 de noviembre de 1850,Obs. Astronómico de Capodimonte
13,14,Irene,J. R. Hind,19 de mayo de 1851,Observatorio George Bishop
14,15,Eunomia,A. de Gasparis,29 de julio de 1851,Obs. Astronómico de Capodimonte
15,16,Psyche,A. de Gasparis,17 de marzo de 1852,Obs. Astronómico de Capodimonte
16,17,Thetis,K. T. R. Luther,17 de abril de 1852,Observatorio de Düsseldorf-Bilk
17,18,Melpomene,J. R. Hind,24 de junio de 1852,Observatorio George Bishop
18,19,Fortuna,J. R. Hind,22 de agosto de 1852,Observatorio George Bishop
19,20,Massalia,A. de Gasparis,19 de septiembre de 1852,Obs. Astronómico de Capodimonte
20,21,Lutetia,H. M. S. Goldschmidt,15 de noviembre de 1852,París
21,22,Kalliope,J. R. Hind,16 de noviembre de 1852,Observatorio George Bishop
22,23,Thalia,J. R. Hind,15 de diciembre de 1852,Observatorio George Bishop
23,24,Themis,A. de Gasparis,5 de abril de 1853,Obs. Astronómico de Capodimonte
24,25,Phocaea,J. Chacornac,6 de abril de 1853,Observatorio de Marsella
25,26,Proserpina,K. T. R. Luther,5 de mayo de 1853,Observatorio de Düsseldorf-Bilk
26,27,Euterpe,J. R. Hind,8 de noviembre de 1853,Observatorio George Bishop
27,28,Bellona,K. T. R. Luther,1 de marzo de 1854,Observatorio de Düsseldorf-Bilk
28,29,Amphitrite,A. Marth,1 de marzo de 1854,Observatorio George Bishop
29,30,Urania,J. R. Hind,22 de julio de 1854,Observatorio George Bishop
30,31,Euphrosyne,J. Ferguson,1 de septiembre de 1854,Obs. Naval de los Estados Unidos
31,32,Pomona,H. M. S. Goldschmidt,26 de octubre de 1854,París
32,33,Polyhymnia,J. Chacornac,28 de octubre de 1854,Observatorio de París
33,34,Circe,J. Chacornac,6 de abril de 1855,Observatorio de París
34,35,Leukothea,K. T. R. Luther,19 de abril de 1855,Observatorio de Düsseldorf-Bilk
35,36,Atalante,H. M. S. Goldschmidt,5 de octubre de 1855,París
36,37,Fides,K. T. R. Luther,5 de octubre de 1855,Observatorio de Düsseldorf-Bilk
37,38,Leda,J. Chacornac,12 de enero de 1856,Observatorio de París
38,39,Laetitia,J. Chacornac,8 de febrero de 1856,Observatorio de París
39,40,Harmonia,H. M. S. Goldschmidt,31 de marzo de 1856,París
40,41,Daphne,H. M. S. Goldschmidt,22 de mayo de 1856,París
41,42,Isis,N. R. Pogson,23 de mayo de 1856,"Observatorio Radcliffe, Oxford"
42,43,Ariadne,N. R. Pogson,15 de abril de 1857,"Observatorio Radcliffe, Oxford"
43,44,Nysa,H. M. S. Goldschmidt,27 de mayo de 1857,París
44,45,Eugenia,H. M. S. Goldschmidt,27 de junio de 1857,París
45,46,Hestia,N. R. Pogson,16 de agosto de 1857,"Observatorio Radcliffe, Oxford"
46,47,Aglaja,K. T. R. Luther,15 de septiembre de 1857,Observatorio de Düsseldorf-Bilk
47,48,Doris,H. M. S. Goldschmidt,19 de septiembre de 1857,París
48,49,Pales,H. M. S. Goldschmidt,19 de septiembre de 1857,París
49,50,Virginia,J. Ferguson,4 de octubre de 1857,Obs. Naval de los Estados Unidos
50,51,Nemausa,J. J. P. Laurent,22 de enero de 1858,Nimes
51,52,Europa,H. M. S. Goldschmidt,4 de febrero de 1858,París
52,53,Kalypso,K. T. R. Luther,4 de abril de 1858,Observatorio de Düsseldorf-Bilk
53,54,Alexandra,H. M. S. Goldschmidt,10 de septiembre de 1858,París
54,55,Pandora,G. M. Searle,10 de septiembre de 1858,"Observatorio Dudley, Albany"
55,56,Melete,H. M. S. Goldschmidt,9 de septiembre de 1857,París
56,57,Mnemosyne,K. T. R. Luther,22 de septiembre de 1859,Observatorio de Düsseldorf-Bilk
57,58,Concordia,K. T. R. Luther,24 de marzo de 1860,Observatorio de Düsseldorf-Bilk
58,59,Elpis,J. Chacornac,12 de septiembre de 1860,Observatorio de París
59,60,Echo,J. Ferguson,14 de septiembre de 1860,Obs. Naval de los Estados Unidos
60,61,Danaë,H. M. S. Goldschmidt,9 de septiembre de 1860,París
61,62,Erato,O. L. Lesser; W. J. Foerster,14 de septiembre de 1860,Berlín
62,63,Ausonia,A. de Gasparis,10 de febrero de 1861,Obs. Astronómico de Capodimonte
63,64,Angelina,E. W. L. Tempel,4 de marzo de 1861,Observatorio de Marsella
64,65,Cybele,E. W. L. Tempel,8 de marzo de 1861,Observatorio de Marsella
65,66,Maja,H. P. Tuttle,9 de abril de 1861,Observatorio del Harvard College
66,67,Asia,N. R. Pogson,17 de abril de 1861,Observatorio de Madrás
67,68,Leto,K. T. R. Luther,29 de abril de 1861,Observatorio de Düsseldorf-Bilk
68,69,Hesperia,G. V. Schiaparelli,29 de abril de 1861,Observatorio Astronómico de Brera
69,70,Panopaea,H. M. S. Goldschmidt,5 de mayo de 1861,París
70,71,Niobe,K. T. R. Luther,13 de agosto de 1861,Observatorio de Düsseldorf-Bilk
71,72,Feronia,C. H. F. Peters,29 de mayo de 1861,"Observatorio Litchfield, Clinton"
72,73,Klytia,H. P. Tuttle,7 de abril de 1862,Observatorio del Harvard College
73,74,Galatea,E. W. L. Tempel,29 de agosto de 1862,Observatorio de Marsella
74,75,Eurydike,C. H. F. Peters,22 de septiembre de 1862,"Observatorio Litchfield, Clinton"
75,76,Freia,H. L. d'Arrest,21 de octubre de 1862,Copenhague
76,77,Frigga,C. H. F. Peters,12 de noviembre de 1862,"Observatorio Litchfield, Clinton"
77,78,Diana,K. T. R. Luther,15 de marzo de 1863,Observatorio de Düsseldorf-Bilk
78,79,Eurynome,J. C. Watson,14 de septiembre de 1863,"Observatorio Detroit, Ann Arbor"
79,80,Sappho,N. R. Pogson,2 de mayo de 1864,Observatorio de Madrás
80,81,Terpsichore,E. W. L. Tempel,30 de septiembre de 1864,Observatorio de Marsella
81,82,Alkmene,K. T. R. Luther,27 de noviembre de 1864,Observatorio de Düsseldorf-Bilk
82,83,Beatrix,A. de Gasparis,26 de abril de 1865,Obs. Astronómico de Capodimonte
83,84,Klio,K. T. R. Luther,25 de agosto de 1865,Observatorio de Düsseldorf-Bilk
84,85,Io,C. H. F. Peters,19 de septiembre de 1865,"Observatorio Litchfield, Clinton"
85,86,Semele,F. Tietjen,4 de enero de 1866,Berlín
86,87,Sylvia,N. R. Pogson,16 de mayo de 1866,Observatorio de Madrás
87,88,Thisbe,C. H. F. Peters,15 de junio de 1866,"Observatorio Litchfield, Clinton"
88,89,Julia,E. J. M. Stephan,6 de agosto de 1866,Observatorio de Marsella
89,90,Antiope,K. T. R. Luther,1 de octubre de 1866,Observatorio de Düsseldorf-Bilk
90,91,Aegina,E. J. M. Stephan,4 de noviembre de 1866,Observatorio de Marsella
91,92,Undina,C. H. F. Peters,7 de julio de 1867,"Observatorio Litchfield, Clinton"
92,93,Minerva,J. C. Watson,24 de agosto de 1867,"Observatorio Detroit, Ann Arbor"
93,94,Aurora,J. C. Watson,6 de septiembre de 1867,"Observatorio Detroit, Ann Arbor"
94,95,Arethusa,K. T. R. Luther,23 de noviembre de 1867,Observatorio de Düsseldorf-Bilk
95,96,Aegle,J. E. Coggia,17 de febrero de 1868,Observatorio de Marsella
96,97,Klotho,E. W. L. Tempel,17 de febrero de 1868,Observatorio de Marsella
97,98,Ianthe,C. H. F. Peters,18 de abril de 1868,"Observatorio Litchfield, Clinton"
98,99,Dike,A. L. N. Borrelly,28 de mayo de 1868,Observatorio de Marsella
99,100,Hekate,J. C. Watson,11 de julio de 1868,"Observatorio Detroit, Ann Arbor"
100,101,Helena,J. C. Watson,15 de agosto de 1868,"Observatorio Detroit, Ann Arbor"
101,102,Miriam,C. H. F. Peters,22 de agosto de 1868,"Observatorio Litchfield, Clinton"
102,103,Hera,J. C. Watson,7 de septiembre de 1868,"Observatorio Detroit, Ann Arbor"
