fecha,siglas,open,high,low,close,volume
2021-02-01,AAPL,133.7500,135.3800,130.9300,134.1400,106239823
2021-01-29,AAPL,135.8300,136.7400,130.2100,131.9600,177523812
2021-01-28,AAPL,139.5200,141.9900,136.7000,137.0900,142621128
2021-01-27,AAPL,143.4300,144.3000,140.4100,142.0600,140843759
2021-01-26,AAPL,143.6000,144.3000,141.3700,143.1600,98390555
2021-01-25,AAPL,143.0700,145.0900,136.5400,142.9200,157611713
2021-01-22,AAPL,136.2800,139.8500,135.0200,139.0700,114459360
2021-01-21,AAPL,133.8000,139.6700,133.5900,136.8700,120529544
2021-01-20,AAPL,128.6600,132.4900,128.5500,132.0300,104319489
2021-01-19,AAPL,127.7800,128.7100,126.9380,127.8300,90757329
2021-01-15,AAPL,128.7800,130.2242,127.0000,127.1400,111598531
2021-01-14,AAPL,130.8000,131.0000,128.7600,128.9100,90221755
2021-01-13,AAPL,128.7600,131.4500,128.4900,130.8900,88636831
2021-01-12,AAPL,128.5000,129.6900,126.8600,128.8000,90440255
2021-01-11,AAPL,129.1900,130.1700,128.5000,128.9800,100620880
2021-01-08,AAPL,132.4300,132.6300,130.2300,132.0500,105158245
2021-01-07,AAPL,128.3600,131.6300,127.8600,130.9200,109578157
2021-01-06,AAPL,127.7200,131.0499,126.3820,126.6000,155087970
2021-01-05,AAPL,128.8900,131.7400,128.4300,131.0100,97664898
2021-01-04,AAPL,133.5200,133.6116,126.7600,129.4100,143301887
2020-12-31,AAPL,134.0800,134.7400,131.7200,132.6900,99116586
2020-12-30,AAPL,135.5800,135.9900,133.4000,133.7200,96452124
2020-12-29,AAPL,138.0500,138.7890,134.3409,134.8700,121047324
2020-12-28,AAPL,133.9900,137.3400,133.5100,136.6900,123124632
2020-12-24,AAPL,131.3200,133.4600,131.1000,131.9700,54930064
2020-12-23,AAPL,132.1600,132.4300,130.7800,130.9600,88223692
2020-12-22,AAPL,131.6100,134.4050,129.6500,131.8800,169351825
2020-12-21,AAPL,125.0200,128.3100,123.4490,128.2300,121251553
2020-12-18,AAPL,128.9600,129.1000,126.1200,126.6550,192541496
2020-12-17,AAPL,128.9000,129.5800,128.0450,128.7000,94359811
2020-12-16,AAPL,127.4100,128.3700,126.5600,127.8100,98208591
2020-12-15,AAPL,124.3400,127.9000,124.1300,127.8800,157572262
2020-12-14,AAPL,122.6000,123.3500,121.5400,121.7800,79075988
2020-12-11,AAPL,122.4300,122.7600,120.5500,122.4100,86939786
2020-12-10,AAPL,120.5000,123.8700,120.1500,123.2400,81312170
2020-12-09,AAPL,124.5300,125.9500,121.0000,121.7800,115089193
2020-12-08,AAPL,124.3700,124.9800,123.0900,124.3800,82225512
2020-12-07,AAPL,122.3100,124.5700,122.2500,123.7500,86711990
2020-12-04,AAPL,122.6000,122.8608,121.5200,122.2500,78260421
2020-12-03,AAPL,123.5200,123.7800,122.2100,122.9400,78967630
2020-12-02,AAPL,122.0200,123.3700,120.8900,123.0800,89004195
2020-12-01,AAPL,121.0100,123.4693,120.0100,122.7200,125920963
